주소,Latitude,Longitude,
가락1동,37.5030455,127.1230676,
가락2동,37.4987162,127.1266048,
가락본동,37.4955123,127.1217696,
가리봉동,37.4825577,126.8896851,
가산동,37.4768685,126.891752,
가양제1동,37.5695093,126.844772,
가양제2동,37.5673449,126.8512857,
가양제3동,37.5610638,126.8606001,
가회동,37.5801053,126.9847902,
갈현제1동,37.623674,126.9167419,
갈현제2동,37.6186002,126.9158472,
강일동,37.5650525,127.1739113,
개봉제1동,37.500011,126.8510262,
개봉제2동,37.4925383,126.8620274,
개봉제3동,37.4859938,126.8538368,
개포1동,37.4796066,127.0490768,
개포2동,37.4897826,127.0690801,
개포4동,37.478856,127.0516235,
거여1동,37.4969863,127.1432714,
거여2동,37.4935529,127.1468374,
고덕제1동,37.5572781,127.1515088,
고덕제2동,37.5605504,127.1643796,
고척제1동,37.5004049,126.8627872,
고척제2동,37.5067037,126.8585765,
공덕동,37.550204,126.9600793,
공릉1.3동,37.6248286,127.0738422,
공릉2동,37.6213072,127.0833653,
공항동,37.5587825,126.8101136,
광장동,37.5468598,127.1030947,
광희동,37.564461,127.0050407,
교남동,37.5719124,126.9619593,
구로제1동,37.4930394,126.8758097,
구로제2동,37.491301,126.8833119,
구로제3동,37.4874245,126.8903243,
구로제4동,37.4915957,126.8891502,
구로제5동,37.5000803,126.8893198,
구산동,37.6117673,126.9103619,
구의제1동,37.5424342,127.0856919,
구의제2동,37.5456451,127.088342,
구의제3동,37.5380043,127.0919649,
군자동,37.5551424,127.0759181,
금호1가동,37.5548474,127.0216381,
금호2.3가동,37.5532032,127.020931,
금호4가동,37.5471659,127.022372,
길동,37.5346935,127.1425984,
길음제1동,37.6104465,127.0195043,
길음제2동,37.6066765,127.0272892,
낙성대동,37.4763345,126.9583943,
난곡동,37.4709336,126.9216902,
난향동,37.4615276,126.9187407,
남가좌제1동,37.5732354,126.9197175,
남가좌제2동,37.5784484,126.9238774,
남영동,37.5457838,126.9748238,
남현동,37.4745785,126.9779107,
내곡동,37.4492917,127.0582212,
노량진제1동,37.5122642,126.9420235,
노량진제2동,37.5084569,126.9373598,
녹번동,37.6026712,126.9288772,
논현1동,37.511516,127.0285512,
논현2동,37.5172918,127.0372351,
능동,37.5537658,127.0805496,
답십리제1동,37.57183,127.0512699,
답십리제2동,37.5674215,127.0613269,
답십리제3동,37.57183,127.0512699,
답십리제4동,37.5674215,127.0613269,
당산제1동,37.5249831,126.8974344,
당산제2동,37.5310137,126.8973139,
대림제1동,37.4954555,126.9059795,
대림제2동,37.4926782,126.8981706,
대림제3동,37.4983297,126.8980767,
대방동,37.5081284,126.9263268,
대조동,37.6141699,126.9208191,
대치1동,37.4932486,127.056771,
대치2동,37.5022565,127.0641674,
대치4동,37.4997428,127.0578493,
대학동,37.4705868,126.9369533,
대흥동,37.5558507,126.9421878,
도곡1동,37.4883342,127.0389595,
도곡2동,37.4837326,127.0463753,
도림동,37.5095364,126.8959912,
도봉제1동,37.6786728,127.0433808,
도봉제2동,37.6697793,127.0465504,
도화동,37.5415761,126.9499333,
독산제1동,37.4702205,126.8970511,
독산제2동,37.463144,126.9034801,
독산제3동,37.4751471,126.9031766,
독산제4동,37.46756,126.9021491,
돈암제1동,37.6033943,127.0263391,
돈암제2동,37.5980299,127.0105586,
동선동,37.5939938,127.0204185,
둔촌제1동,37.5333196,127.1418989,
둔촌제2동,37.5333436,127.1419394,
등촌제1동,37.5558238,126.8589361,
등촌제2동,37.542666,126.8625233,
등촌제3동,37.5589249,126.847867,
마장동,37.5662922,127.0453979,
마천1동,37.4959618,127.1498888,
마천2동,37.4969377,127.1485915,
망우본동,37.6005867,127.1015064,
망우제3동,37.5918799,127.094927,
