링크아이디,시점노드,시점노드명,종점노드,종점노드명,도로등급,도로명,연장(M),링크권역
(LINK_ID),(F_NODE),(NODE_NAME),(T_NODE),(NODE_NAME),(ROAD_RANK),(ROAD_NAME),(len),(organ)
1000000301,1000008600,종로구청입구교차로,1000008900,SK빌딩,103,종로,150.9259734,서울특별시
1000000302,1000008900,SK빌딩,1000007700,종로1가,103,종로,110.8662269,서울특별시
1000000303,1000007700,종로1가,1000008700,종로1가사거리,103,종로,73.49965485,서울특별시
1000000401,1000008900,SK빌딩,1000008600,종로구청입구교차로,103,종로,150.9259734,서울특별시
1000000402,1000009500,종로1가,1000008900,SK빌딩,103,종로,110.8662297,서울특별시
1000000403,1000008700,종로1가사거리,1000009500,종로1가,103,종로,73.81658135,서울특별시
1000000501,1000009600,종로1가,1000008700,종로1가사거리,103,종로,70.8558132,서울특별시
1000000502,1000009100,종각지하쇼핑센터,1000009600,종로1가,103,종로,186.5511297,서울특별시
1000000503,1000008500,종로2가교차로,1000009100,종각지하쇼핑센터,103,종로,170.3743523,서울특별시
1000000601,1000008700,종로1가사거리,1000007800,종로1가,103,종로,70.85571248,서울특별시
1000000602,1000007800,종로1가,1000009100,종각지하쇼핑센터,103,종로,186.506528,서울특별시
1000000603,1000009100,종각지하쇼핑센터,1000008500,종로2가교차로,103,종로,171.0473556,서울특별시
1000000701,1000008200,구세군회관,1000008100,간단하지만특별한화피디Cafe,103,새문안로,57.83060046,서울특별시
1000000702,1000007900,새문안교회,1000008200,구세군회관,103,새문안로,163.5622502,서울특별시
1000000703,1000008300,신문로1가120,1000007900,새문안교회,103,새문안로,47.62698114,서울특별시
1000000801,1000008100,간단하지만특별한화피디Cafe,1000008200,구세군회관,103,새문안로,55.5845179,서울특별시
1000000802,1000008200,구세군회관,1000007900,새문안교회,103,새문안로,163.5623502,서울특별시
1000000803,1000007900,새문안교회,1000008300,신문로1가120,103,새문안로,47.62698114,서울특별시
1000000901,1000008400,신문로1가141,1000008300,신문로1가120,103,새문안로,52.49724058,서울특별시
1000000902,1000009300,세종로208,1000008400,신문로1가141,103,새문안로,60.72319605,서울특별시
1000000903,1000009000,세종대로사거리,1000009300,세종로208,103,새문안로,79.13000377,서울특별시
1000001001,1000008300,신문로1가120,1000008400,신문로1가141,103,새문안로,52.49734057,서울특별시
1000001002,1000008400,신문로1가141,1000007600,세종로208,103,새문안로,60.72319506,서울특별시
1000001003,1000007600,세종로208,1000009000,세종대로사거리,103,새문안로,79.13000477,서울특별시
1000001101,1000009400,기업은행,1000008500,종로2가교차로,103,종로,154.0367585,서울특별시
1000001102,1000009800,종로3가사거리,1000009400,기업은행,103,종로,239.9062796,서울특별시
1000001201,1000008500,종로2가교차로,1000009400,기업은행,103,종로,154.5071986,서울특별시
1000001202,1000009400,기업은행,1000009800,종로3가사거리,103,종로,239.9063794,서울특별시
1000001301,1000009700,종로1가1-3,1000009000,세종대로사거리,103,종로,70.35982259,서울특별시
1000001302,1000008800,광화문우체국,1000009700,종로1가1-3,103,종로,72.48960506,서울특별시
1000001303,1000008600,종로구청입구교차로,1000008800,광화문우체국,103,종로,71.16811522,서울특별시
1000001401,1000009000,세종대로사거리,1000008000,종로1가1-3,103,종로,70.35972471,서울특별시
1000001402,1000008000,종로1가1-3,1000008800,광화문우체국,103,종로,72.36418874,서울특별시
