,curr_time,request_id,waiting_time,arrival_time,total_time,req_loc
0,6,0,5,0,5,197
1,6,5,5,0,5,226
2,6,7,5,0,5,45
3,6,8,5,0,5,225
4,6,13,5,0,5,345
5,6,20,5,0,5,168
6,6,22,5,0,5,6
7,6,27,5,0,5,19
8,6,28,5,0,5,247
9,6,29,5,0,5,209
10,6,32,5,0,5,232
11,6,37,5,0,5,82
12,6,38,5,0,5,263
13,6,42,5,0,5,229
14,6,9,5,0,5,203
15,6,44,5,0,5,401
16,6,45,5,0,5,278
17,6,46,5,0,5,118
18,6,49,5,0,5,209
19,6,50,5,0,5,148
20,6,60,5,0,5,163
21,6,61,5,0,5,27
22,6,64,5,0,5,52
23,6,66,5,0,5,153
24,6,68,5,0,5,27
25,6,69,5,0,5,186
26,6,78,2,0,2,404
27,11,1,10,0,10,332
28,11,2,10,0,10,81
29,11,3,10,0,10,177
30,11,4,10,0,10,25
31,11,6,10,10,20,306
32,11,10,10,0,10,203
33,11,11,10,0,10,94
34,11,12,10,0,10,271
35,11,14,10,0,10,22
36,11,16,10,0,10,111
37,11,17,10,0,10,174
38,11,18,10,0,10,352
39,11,19,10,0,10,265
40,11,21,10,0,10,171
41,11,23,10,0,10,51
42,11,24,10,0,10,26
43,11,25,10,0,10,130
44,11,26,10,0,10,145
45,11,51,10,16,26,331
46,11,30,10,0,10,369
47,11,31,10,0,10,145
48,11,33,10,0,10,130
49,11,34,10,0,10,130
50,11,35,10,0,10,130
51,11,39,10,0,10,279
52,11,74,8,0,8,146
53,11,41,10,0,10,272
54,11,47,10,0,10,256
55,11,48,10,0,10,400
56,11,52,10,0,10,331
57,11,53,10,0,10,296
58,11,54,10,0,10,258
59,11,55,10,0,10,172
60,11,56,10,0,10,370
61,11,57,10,0,10,53
62,11,62,10,0,10,310
63,11,63,10,0,10,366
64,11,67,10,0,10,33
65,11,71,9,0,9,299
66,11,40,10,0,10,146
67,11,79,7,0,7,417
68,16,58,15,6,21,11
69,16,83,8,6,14,367
70,16,65,15,6,21,66
71,16,84,8,19,27,310
72,16,36,15,6,21,130
73,16,89,4,17,21,61
74,16,70,15,14,29,191
75,16,72,14,0,14,178
76,16,80,12,0,12,378
77,16,81,11,0,11,377
78,16,86,7,0,7,290
79,21,59,20,3,23,277
80,21,82,13,9,22,85
81,21,99,10,11,21,177
82,21,43,20,31,51,203
83,21,85,12,10,22,312
84,21,77,17,6,23,70
85,21,91,7,0,7,312
86,21,73,18,5,23,94
87,21,96,6,0,6,176
88,26,90,14,16,30,295
89,26,134,1,8,9,164
90,26,104,8,4,12,342
91,26,106,7,14,21,300
92,26,97,15,9,24,379
93,26,15,25,15,40,98
94,26,102,9,6,15,404
95,26,100,15,0,15,40
96,26,105,7,0,7,199
97,26,76,23,6,29,77
98,31,94,16,13,29,312
99,31,114,9,8,17,289
100,31,108,15,7,22,285
101,31,128,7,5,12,39
102,31,88,25,12,37,113
103,36,173,1,0,1,186
104,36,129,12,9,21,149
105,36,142,9,0,9,11
106,36,175,1,8,9,107
107,36,120,13,3,16,428
108,36,137,15,9,24,313
109,36,132,12,0,12,11
110,36,110,20,0,20,355
111,36,124,13,10,23,431
112,36,145,8,9,17,183
113,36,119,14,22,36,146
114,36,135,11,6,17,368
115,36,107,16,0,16,101
116,36,87,26,21,47,5
117,36,161,4,0,4,413
118,41,115,19,0,19,57
119,41,127,17,11,28,294
120,41,148,13,4,17,168
121,41,75,38,38,76,141
122,41,130,17,5,22,249
123,41,116,19,16,35,57
124,41,93,27,17,44,420
125,41,147,13,10,23,311
126,41,138,20,1,21,368
127,41,92,27,24,51,209
128,41,111,25,13,38,290
129,41,155,15,14,29,285
130,41,118,19,0,19,158
131,41,98,30,13,43,379
132,46,222,2,3,5,237
133,46,143,19,10,29,152
134,46,141,25,20,45,124
135,46,133,21,14,35,80
136,46,192,7,4,11,382
137,46,122,23,13,36,256
138,46,176,11,0,11,236
139,46,172,11,6,17,321
140,46,153,16,5,21,10
141,46,149,18,11,29,203
142,46,101,29,18,47,85
143,46,177,15,11,26,42
144,46,146,18,12,30,25
145,46,179,15,6,21,178
146,46,201,10,0,10,356
147,46,196,6,14,20,398
148,46,139,25,0,25,429
149,46,112,30,25,55,422
150,46,169,13,0,13,416
151,46,197,6,0,6,318
152,51,158,25,0,25,91
153,51,131,27,5,32,34
154,51,166,18,12,30,357
155,51,182,13,0,13,146
156,51,167,18,19,37,309
157,51,188,12,15,27,138
158,51,121,28,18,46,96
159,51,210,8,5,13,184
160,51,126,28,4,32,114
161,51,113,35,16,51,209
162,51,246,3,0,3,431
163,51,181,14,10,24,88
164,51,219,7,5,12,36
165,56,211,13,9,22,196
166,56,109,40,31,71,420
167,56,185,18,20,38,349
168,56,123,33,26,59,143
169,56,95,41,33,74,142
170,56,171,22,21,43,202
171,56,180,19,22,41,304
172,56,242,9,4,13,98
173,56,190,17,12,29,374
174,56,154,26,12,38,179
175,56,156,30,0,30,290
176,56,228,11,9,20,318
177,56,103,38,28,66,23
178,56,253,7,5,12,10
179,61,237,20,0,20,44
180,61,117,39,15,54,191
181,61,232,20,16,36,146
182,61,224,17,4,21,37
183,61,223,17,12,29,26
184,61,214,18,15,33,380
185,61,282,6,0,6,267
186,61,174,26,16,42,290
187,61,186,22,8,30,166
188,61,144,34,19,53,208
189,61,264,9,0,9,312
190,61,244,13,15,28,380
191,61,236,20,0,20,300
192,61,164,29,14,43,169
193,61,163,29,12,41,266
194,61,261,15,14,29,149
195,61,213,18,13,31,26
196,61,280,6,0,6,10
197,61,220,17,0,17,398
198,61,125,38,31,69,295
199,61,238,20,12,32,64
200,66,365,10,0,10,236
201,66,321,10,0,10,185
202,66,202,24,4,28,6
203,66,168,33,17,50,97
204,66,136,41,8,49,228
205,66,209,23,9,32,263
206,66,257,16,0,16,145
207,66,262,20,7,27,172
208,66,191,27,12,39,218
209,66,152,36,6,42,123
210,66,353,10,0,10,185
211,66,170,33,0,33,295
212,66,189,27,20,47,31
213,66,162,34,9,43,363
214,66,205,24,6,30,368
215,66,273,13,0,13,311
216,66,298,8,9,17,155
217,66,292,15,6,21,201
218,66,322,10,0,10,36
219,66,255,16,5,21,175
220,66,159,40,26,66,315
221,66,198,26,0,26,138
222,66,296,9,0,9,380
223,66,295,9,8,17,250
224,66,252,17,3,20,308
225,66,229,21,0,21,280
226,66,233,25,0,25,166
227,66,341,10,0,10,380
228,66,306,8,0,8,203
229,66,140,45,0,45,296
230,66,279,12,0,12,312
231,66,275,12,5,17,404
232,66,203,24,16,40,60
233,66,340,10,0,10,360
234,66,254,17,8,25,140
235,66,200,30,0,30,35
236,66,260,20,8,28,146
237,66,268,13,6,19,368
238,66,193,26,7,33,130
239,66,278,12,7,19,171
240,66,187,27,11,38,141
241,66,151,37,9,46,48
242,66,157,40,12,52,54
243,71,221,27,0,27,130
244,71,342,15,3,18,220
245,71,247,23,18,41,243
246,71,307,13,9,22,379
247,71,357,15,0,15,41
248,71,250,22,14,36,104
249,71,270,18,8,26,372
250,71,206,29,19,48,234
251,71,356,15,0,15,95
252,71,350,15,5,20,178
253,71,178,40,16,56,121
254,71,310,12,5,17,271
255,71,267,19,7,26,431
256,71,195,31,3,34,1
257,71,415,10,6,16,81
258,71,287,20,12,32,146
259,71,207,28,0,28,208
260,71,326,15,6,21,367
261,71,199,35,17,52,122
262,71,226,27,0,27,54
263,71,293,14,5,19,377
264,71,420,10,0,10,236
265,71,410,6,0,6,88
266,71,212,28,18,46,339
267,71,376,15,6,21,241
268,71,271,18,5,23,374
269,71,299,13,6,19,155
270,71,351,15,7,22,178
271,71,329,15,5,20,370
272,71,359,15,6,21,367
273,71,183,33,16,49,12
274,71,150,42,25,67,228
275,71,382,15,5,20,369
276,71,332,15,0,15,237
277,71,217,27,4,31,120
278,71,348,15,0,15,388
279,71,284,20,9,29,356
280,71,294,14,0,14,42
281,71,360,15,0,15,138
282,71,165,39,19,58,83
283,71,160,45,5,50,411
284,76,281,21,16,37,104
285,76,327,20,0,20,47
286,76,239,35,5,40,338
287,76,234,35,11,46,336
288,76,215,33,7,40,198
289,76,368,20,4,24,347
290,76,263,24,3,27,307
291,76,393,13,13,26,299
292,76,240,35,7,42,85
293,76,358,20,7,27,323
294,76,335,20,18,38,409
295,76,230,31,0,31,218
296,76,374,20,0,20,203
297,76,288,25,11,36,375
298,76,184,38,0,38,96
299,76,323,20,9,29,312
300,76,204,34,20,54,69
301,76,216,33,0,33,123
302,76,283,21,4,25,208
303,76,390,14,3,17,154
304,76,344,20,3,23,163
305,76,367,20,9,29,387
306,76,362,20,7,27,25
307,76,301,18,8,26,147
308,76,218,32,20,52,120
309,76,386,14,10,24,46
310,76,231,31,0,31,11
311,76,375,20,6,26,313
312,76,208,33,15,48,67
313,76,346,20,8,28,220
314,76,405,11,5,16,404
315,76,308,18,0,18,130
316,76,194,36,30,66,296
317,76,377,20,0,20,288
318,81,245,33,8,41,331
319,81,398,18,17,35,163
320,81,423,20,6,26,367
321,81,411,16,8,24,71
322,81,387,19,8,27,107
323,81,395,18,3,21,212
324,81,396,18,2,20,145
325,81,331,25,15,40,311
326,81,241,40,15,55,84
327,81,314,21,4,25,330
328,81,227,36,13,49,69
329,81,354,25,10,35,311
330,81,248,33,0,33,186
331,81,266,29,15,44,391
332,81,300,23,0,23,54
333,81,389,19,21,40,196
334,81,463,9,4,13,178
335,81,407,16,5,21,347
336,81,416,20,0,20,404
337,81,456,9,1,10,368
338,81,235,40,6,46,11
339,81,312,22,16,38,310
340,81,347,25,0,25,205
341,81,315,21,12,33,62
342,81,256,31,6,37,181
343,81,243,34,14,48,32
344,81,378,25,12,37,64
345,86,433,19,5,24,45
346,86,334,30,4,34,332
347,86,455,14,11,25,89
348,86,330,30,18,48,144
349,86,447,16,3,19,428
350,86,339,30,0,30,307
351,86,302,28,7,35,226
352,86,265,34,0,34,331
353,86,277,32,5,37,244
354,86,274,32,3,35,0
355,86,372,30,17,47,17
356,86,276,32,11,43,290
357,86,225,42,13,55,296
358,86,404,22,15,37,413
359,86,285,35,0,35,11
360,86,471,12,5,17,178
361,86,272,33,20,53,44
362,86,258,40,6,46,341
363,86,479,11,0,11,380
364,86,303,28,15,43,52
365,86,352,30,14,44,159
366,86,249,37,28,65,120
367,86,444,17,9,26,155
368,86,417,25,9,34,312
369,86,364,30,18,48,144
370,86,487,9,7,16,404
371,86,316,26,10,36,38
372,86,355,30,15,45,425
373,86,470,13,12,25,196
374,86,429,19,14,33,386
375,91,311,32,11,43,252
376,91,290,40,6,46,1
377,91,443,22,6,28,144
378,91,507,11,0,11,10
379,91,313,31,0,31,333
380,91,338,35,0,35,187
381,91,464,18,4,22,205
382,91,328,35,7,42,304
383,91,484,20,0,20,267
384,91,495,13,0,13,364
385,91,343,35,4,39,292
386,91,381,35,3,38,248
